Distance,Side,Temperature,Humidity,Pressure,Visibility,Wind_Direction,Wind_Speed,Precipitation,Weather_Condition,Junction,Traffic_Signal,Sunrise_Sunset,highway,oneway,lanes,maxspeed,sev_cat
0.340000003576,L,64.0,78.0,30.1,10.0,VAR,5.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major below 75
0.340000003576,L,59.0,67.0,29.98,10.0,SW,6.0,0.0,Cloudy,False,False,Night,residential,False,2,25,Major below 75
0.0,R,37.0,60.0,24.24,10.0,NE,6.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major below 75
0.34999999404,R,46.0,83.0,30.12,10.0,SW,4.6,0.01,Cloudy,False,False,Night,residential,False,2,25,Major below 75
0.37,R,45.0,100.0,30.16,10.0,NE,3.5,0.0,Cloudy,False,True,Night,residential,False,2,25,Major below 75
0.0,R,28.0,45.0,29.49,10.0,SW,9.0,0.0,Fair,False,True,Night,residential,False,2,25,Major below 75
0.0,R,63.0,65.0,30.03,10.0,NW,10.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 75 to 125
0.0,R,56.0,84.0,30.08,10.0,E,6.0,0.0,Cloudy,False,False,Day,residential,False,2,25,Major 75 to 125
0.418,R,56.0,90.0,29.76,10.0,S,5.0,0.0,Fair,False,False,Day,residential,False,2,25,Major 75 to 125
0.0,R,60.0,80.0,29.2,10.0,S,5.0,0.0,Rain,False,True,Night,residential,False,2,30,Major above 250
0.0,R,43.0,93.0,30.26,4.0,N,17.3,0.22,Rain,False,False,Day,residential,False,2,30,Major above 250
0.0,R,44.1,89.0,30.01,9.0,NW,12.7,0.02,Cloudy,False,False,Day,residential,False,2,30,Major above 250
0.0,R,37.0,93.0,30.02,4.0,NW,9.2,0.05,Rain,False,False,Day,residential,False,2,30,Major above 250
0.0,R,37.9,93.0,30.32,1.5,NE,9.2,0.01,Drizzle,False,False,Day,residential,False,2,30,Major above 250
